NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 236 GTMIN   420.84  3 2030  3 2030  MARLIM AZUL
 236 GTMIN   420.84  4 2030  4 2030  MARLIM AZUL
 236 GTMIN     0.00  5 2030  5 2030  MARLIM AZUL
 236 GTMIN     0.00  6 2030  6 2030  MARLIM AZUL
 236 GTMIN     0.00  7 2030  7 2030  MARLIM AZUL
 236 GTMIN     0.00  8 2030  8 2030  MARLIM AZUL
 236 GTMIN     0.00  9 2030  9 2030  MARLIM AZUL
 236 GTMIN     0.00 10 2030 10 2030  MARLIM AZUL
 236 GTMIN   420.84 11 2030 11 2030  MARLIM AZUL
 236 GTMIN   420.84 12 2030 12 2030  MARLIM AZUL
 236 GTMIN   420.84  1 2031  1 2031  MARLIM AZUL
 236 GTMIN   420.84  2 2031  2 2031  MARLIM AZUL
 236 GTMIN   420.84  3 2031  3 2031  MARLIM AZUL
 236 GTMIN   420.84  4 2031  4 2031  MARLIM AZUL
 236 GTMIN     0.00  5 2031  5 2031  MARLIM AZUL
 236 GTMIN     0.00  6 2031  6 2031  MARLIM AZUL
 236 GTMIN     0.00  7 2031  7 2031  MARLIM AZUL
 236 GTMIN     0.00  8 2031  8 2031  MARLIM AZUL
 236 GTMIN     0.00  9 2031  9 2031  MARLIM AZUL
 236 GTMIN     0.00 10 2031 10 2031  MARLIM AZUL
 236 GTMIN   420.84 11 2031 11 2031  MARLIM AZUL
 236 GTMIN   420.84 12 2031 12 2031  MARLIM AZUL
 236 GTMIN   420.84  1 2032  1 2032  MARLIM AZUL
 236 GTMIN   420.84  2 2032  2 2032  MARLIM AZUL
 236 GTMIN   420.84  3 2032  3 2032  MARLIM AZUL
 236 GTMIN   420.84  4 2032  4 2032  MARLIM AZUL
 236 GTMIN     0.00  5 2032  5 2032  MARLIM AZUL
 236 GTMIN     0.00  6 2032  6 2032  MARLIM AZUL
 236 GTMIN     0.00  7 2032  7 2032  MARLIM AZUL
 236 GTMIN     0.00  8 2032  8 2032  MARLIM AZUL
 236 GTMIN     0.00  9 2032  9 2032  MARLIM AZUL
 236 GTMIN     0.00 10 2032 10 2032  MARLIM AZUL
 236 GTMIN   420.84 11 2032 11 2032  MARLIM AZUL
